term,importance
utensil,0.07556314141754701
utensil type,0.07556314141754701
pressure cooker,0.07556314141754701
using utensil,0.07556314141754701
open,0.0755396605618188
way,0.07539361226492483
taken hospital,0.07534642680453853
shoulder,0.07534308902963509
hydraulic plate,0.07522200394907443
time accident,0.07515172802818001
base,0.07513643708534931
handle,0.07502123269425873
left leg,0.07486278344879316
lid,0.07483747229692389
scissor,0.07483002136902214
preparing mount,0.07479491493231061
polypropylene tubing,0.07479491493231061
pickup,0.07479491493231061
place pressing,0.07479491493231061
positioned place,0.07479491493231061
mount,0.07479491493231061
pickup truck,0.07479491493231061
mount polypropylene,0.07479491493231061
rock fragment,0.07471284470410558
fingers,0.07459094978203068
chimney,0.07453820347317805
generating,0.07451147385904981
upper,0.0744975827236384
metallic tube,0.07449529289837072
slide causing,0.07448803090781783
hw pipe,0.07448803090781783
forearm,0.07443459597485191
leak,0.07436059191147777
distal,0.07434468004869237
accidentally,0.07431088928534205
accidentally activates,0.07431088928534205
producing injury,0.07422111658247481
immediate,0.07411610502677843
trapping,0.07407920114760633
activity employee,0.07389850141154677
tank,0.07380883293763907
approximately kg,0.07366995559021874
employee performed,0.0735581202695874
hand employee,0.07353395612574935
washing,0.07351784570615084
bite,0.07341821948853691
medical care,0.0733881821535122
suction,0.07338365307443578
direction,0.0733733661857521
ground,0.07319605326965037
operators,0.0728908052196257
pipe comes,0.07284566716547913
feeder,0.07258320235939275
approximate height,0.07254427227992577
swelling,0.07246839962179492
working,0.07246450664520321
fragment,0.0724169399470509
presence,0.07231699242743266
moved,0.07212322914208213
degree burn,0.0721095339943792
degree,0.0721095339943792
reach,0.07195427192986283
hand causing,0.07192175270898901
beam,0.07172067891672924
borehole,0.07167561202160669
shifted,0.07162403519514439
tool,0.07160298204692611
glass,0.07156646576505986
impact,0.07149749439018659
leaving,0.0712546793916848
rotor,0.07119757396384574
slips,0.07105459555674276
jacket,0.07104324539070968
electric shock,0.07101827090929255
tests,0.070954116671309
eissa,0.07095157428556768
master,0.0709389678756884
approximate weight,0.07087993990771782
moment collaborator,0.07086964685432534
cart,0.0707870543349646
causing irritation,0.07076959013058909
skimmer,0.07074679019428237
hdp,0.07058632486352498
trip,0.07057675758070792
approx hours,0.07051508038981677
belt,0.07047945308498535
away,0.07026357644024031
work generating,0.07019903102549163
upper edge,0.07019903102549163
partner suffers,0.07019903102549163
power cable,0.07019621073621382
using power,0.07019621073621382
help,0.07018444406247305
conveyor belt,0.07016984671655932
wagons,0.07016660011358197
central,0.07015008843673079
causing superficial,0.07014480026786035
injured nilton,0.07012698017604094
wall,0.07011096130564612
alimak,0.0700844919482831
belt collaborator,0.06994657604856844
stepped,0.06979273644164224
process,0.06978221967674149
flow,0.06972017873962773
official,0.0697069735377513
tn,0.06967866188284097
lifting,0.06946623371968491
opened manual,0.06939720592003128
placed air,0.06939720592003128
valve projection,0.06939720592003128
projection acid,0.06939720592003128
performs,0.0693630229257203
knife,0.06933823168388985
right eye,0.06917229503234207
dust,0.06916901738601633
mr wilmer,0.06896940955678532
wilmer,0.06896940955678532
placement blanket,0.06896940955678532
wilmer approaches,0.06896940955678532
grating,0.06895993818224704
hook,0.06894578523530456
performing doosan,0.0689189467326405
notice immediately,0.0689189467326405
liquid,0.06891417573816147
thickness,0.06888506130804059
locked,0.06876963316765897
lx,0.06870281661311159
right hand,0.06858217398427553
mr carlos,0.06854720199429047
vehicle reported,0.06854720199429047
trench,0.06851446808071969
cleaned,0.06847732649625089
stuck,0.0683394639580798
finger pressed,0.06818848391877574
scaffolding,0.06811400206888939
used,0.06801117256354662
chest,0.06793179046873929
supports,0.06791658039376848
loud,0.06759185135766466
pipe chain,0.06737388090793353
work hdpe,0.06737388090793353
pipe slipped,0.06737388090793353
worker secured,0.06737388090793353
workers worker,0.06737388090793353
injuries,0.06735164523331262
surprised,0.0673335974940866
blunt cut,0.06732953461826174
causing blunt,0.06732953461826174
boards,0.06732088050733587
mr kevin,0.06723426632374066
turned,0.06701243839347477
clerk,0.06691136457672069
saw,0.06689265821358345
preparing rice,0.06686814487615964
wound,0.06671194896138163
squat,0.06663455667167398
check,0.06660768359710492
called,0.06656000893752038
bolter,0.06647109658443355
time event,0.06645311634163459
work assembling,0.06635294287187951
vanishes falls,0.06635294287187951
vanishes,0.06635294287187951
water line,0.06635294287187951
way transferred,0.06635294287187951
partner hits,0.06630186730665993
uses carpenter,0.06630186730665993
path hammer,0.06630186730665993
frontal region,0.06625318550868452
frontal,0.06625318550868452
moments,0.0662511303468956
bridge,0.06624319530607778
connection,0.06622520160724779
operator operates,0.06609833589388965
suddenly,0.0660186102185019
pick,0.06585703381762559
knee,0.06581675437652132
joint,0.06575942493815078
foot,0.06575907979369074
kg weight,0.0657316788985998
steering,0.0657219445912995
steering cylinder,0.0657219445912995
projected employee,0.06563065693825391
bracket,0.06558910678995368
gr,0.06529926231570084
employees,0.0652795933082447
reaching right,0.0651811913613922
safety gloves,0.06517514580573383
piece fell,0.06514694141419138
paracatu ltda,0.06514694141419138
parts trestles,0.06514694141419138
work soon,0.06514694141419138
piece held,0.06514694141419138
parts,0.06514694141419138
entered,0.0650084312664298
acid solution,0.06497386788307571
wrench bolt,0.0649225593000147
withdrawal metal,0.0649225593000147
pressing ring,0.0649225593000147
lane,0.06476748387823879
inclined,0.064709173166745
grid,0.06462964559108672
lower left,0.06452609266153139
instant,0.06442289881107761
returned,0.06439889286547107
marco,0.06431059924882337
circumstances worker,0.0640946781641574
maneuvers,0.06399528688891588
wooden,0.06398869159192513
pulled,0.0639866631534987
survey,0.06391785567358357
starting,0.06385143574769367
followed,0.06381855174331222
worker wearing,0.0637324598895019
helical,0.0637301702856773
engineer,0.06364114670869055
hand worker,0.06357072319506948
store,0.06340361555956779
master loader,0.06335619820199108
superficially,0.06333912884694251
broke,0.0633230296409513
accommodate,0.06324770511348157
high,0.0631825720602397
electric cables,0.06311178890345488
sleeve,0.06310626376377798
twisting,0.06303570137035058
rice,0.06298949955803691
secondary,0.06294258631355136
st,0.06293022140481203
blocks,0.06291806984855283
pm,0.06278469913744532
rd,0.06273863066968327
pull,0.06272774078331214
activates,0.06272043798341498
little finger,0.06265545708367144
bag,0.06264706459332622
worker removing,0.062457456857665836
worker yaranga,0.062457456857665836
working barretilla,0.062457456857665836
unloading metal,0.062457456857665836
yaranga,0.062457456857665836
yaranga working,0.062457456857665836
producing wound,0.062457456857665836
operator juan,0.062457456857665836
ompressor,0.06231080337337329
worker left,0.06231080337337329
oil residues,0.06231080337337329
ompressor attempt,0.06231080337337329
open functioning,0.06231080337337329
use absorbent,0.06231080337337329
propeller pulling,0.06231080337337329
propeller causing,0.06231080337337329
hand pressed,0.06221216094762359
ripper,0.06210567341423937
chisel,0.062032449309492435
loses,0.06190808601139208
loosening,0.06166858569174414
causes,0.0615752851480337
monitoring,0.06151486342772826
expelling,0.06140514994637336
described injury,0.061376043350992206
cmx,0.0613735399180934
lenses,0.06127015071006553
imprisons,0.061214345267375014
struck,0.06120614608117899
placement,0.06116592461924193
left thumb,0.060994512795079905
generates,0.060923880631726234
approaching,0.060810794144236915
caught,0.06078324158738657
repair,0.06073818877097341
positioned,0.060613387165950015
gutter,0.06060914369183914
splinter,0.060526040615173304
pound rope,0.060526040615173304
retired,0.060226185986286415
perforation,0.06021316170870714
participating patronal,0.060202940407300634
noise materials,0.060202940407300634
patronal,0.060202940407300634
people attending,0.060202940407300634
people trying,0.060202940407300634
patronal feast,0.060202940407300634
mounted horse,0.060202940407300634
releasing,0.060189203531107204
placing,0.060103648805547916
lip,0.060047315757359665
hdpe,0.06004402699749347
eye causing,0.06000714087607436
extension,0.05997061568851801
region,0.05996067898638864
installing,0.059944510211196136
right knee,0.05992176248390789
pressed right,0.059918234190149224
drilling hole,0.059916061820287934
sliding,0.0599082009701428
projection shotcrete,0.05985801636949408
work perceives,0.05985801636949408
worker cast,0.05985801636949408
perceives discomfort,0.05985801636949408
particles left,0.05985801636949408
nv chamber,0.05985801636949408
nd,0.05979177845460069
reports performed,0.05977468138247782
piece,0.05976281389196706
structure equipment,0.05974678421293933
flange causing,0.05972755640935534
right causing,0.059674231266500455
shock,0.05961776289257581
pulling,0.059569698580125716
iron,0.05955944069454104
effect,0.05950158577458585
mineral,0.059494974841284076
fine,0.05948638036253242
socket,0.05948360729057069
worker seen,0.05947953909818893
using auxiliary,0.05947953909818893
nylon sling,0.05947953909818893
performs anode,0.05947953909818893
driller,0.0594407945682614
mud,0.05939295017052161
used epps,0.059333134364184845
pushes,0.05932871922085092
quickly,0.059319688110247924
structure moved,0.059300021312862626
wooden support,0.059300021312862626
moved coming,0.059300021312862626
pressing rope,0.059300021312862626
impacting right,0.05929309172728107
path,0.059263516540955644
performed sanitation,0.059165964831894846
municipal,0.059165964831894846
municipal paracatu,0.059165964831894846
promptly rescued,0.059165964831894846
promptly,0.059165964831894846
upper jka,0.059165964831894846
unit emergency,0.059165964831894846
victim promptly,0.059165964831894846
ventilation,0.05914502283170634
paracatu underwent,0.059080479593701496
underwent,0.059080479593701496
work lunch,0.059080479593701496
underwent medical,0.059080479593701496
panel shell,0.059077568172950956
proceed installation,0.059077568172950956
opening electric,0.059077568172950956
phase ground,0.059077568172950956
phase contact,0.059077568172950956
producing flash,0.059077568172950956
operator causing,0.059077568172950956
operator jumbo,0.059077568172950956
nv remove,0.059077568172950956
da,0.059009037021083656
falls hitting,0.058928879091327234
allergic reaction,0.058886513637171255
clearing,0.05884337042503218
nv ob,0.0586820835956785
wearing safety,0.0586083067417005
big,0.058586844521976836
air lance,0.05857035068290887
lance,0.05857035068290887
lt,0.05854835292705205
polypropylene,0.05853578773949562
reached,0.05850191336542514
road,0.05848734530495886
forklift,0.058115885173025704
worker forehead,0.05810930062333654
pipe suffers,0.05810930062333654
production mesh,0.05810930062333654
product compressed,0.05810930062333654
negative removing,0.05810930062333654
pressure released,0.05810930062333654
rb,0.05810456841537046
continued,0.05806553730010354
decide,0.05793173695006952
arm right,0.057906390362965784
finger employee,0.05784838509746533
blanket,0.05781914497219602
mechanics,0.05780112867859242
holes,0.05770935813070695
injury time,0.0576348235814992
cat ladder,0.05753778512126605
rubbing,0.05753680341061125
stopped,0.057524692212454695
able remove,0.05743782513123289
operates,0.057404601608634934
load,0.05739728366010534
collaborator,0.05732222396572788
gun,0.057305563994833816
vegetation,0.05725511199867679
line,0.05697462531113676
raised,0.056887136735472854
pit,0.05688500378923178
bolts,0.05685949694357832
fragments,0.05685224985003275
preparation,0.05684703958331494
pot,0.0567672079466464
reported,0.05665408972707322
hooked,0.056532324300885575
anchor,0.05638541815369633
participating,0.05636563957206172
collect,0.05636563957206172
limbs,0.05636563957206172
thigh,0.05627825135297578
sample,0.05626857446380672
hand generating,0.05619705977911985
concrete,0.05612009134700413
strip,0.05604282333545483
right leg,0.056041462831656806
entering,0.05603241410195936
operator enoc,0.055804021181733256
natclar time,0.055804021181733256
wash affected,0.055804021181733256
plate launching,0.055804021181733256
using correctly,0.055804021181733256
producing slight,0.05576620291502989
leather,0.05574815857434534
projecting,0.05574596204775162
mr cesar,0.055700406010168436
cesar,0.055700406010168436
nylon,0.055688347446801935
secured,0.05565416320975084
roof work,0.055625695532744546
striking employee,0.0555202720219802
electrician,0.055519198656930766
link,0.05547076782151674
occurred,0.055468804281712594
soil,0.05546025061889256
performed withdrawal,0.05540001631743663
